x,y
-2.000000000000000000e+00,-5.032858469887673269e-01
-1.862068965517241326e+00,-7.244711977229087996e-01
-1.724137931034482651e+00,4.752747449972440918e-01
-1.586206896551724199e+00,1.764409166752852753e+00
-1.448275862068965525e+00,4.210190390697672314e-01
-1.310344827586206851e+00,8.348285602921988735e-01
-1.172413793103448398e+00,3.061971436197046259e+00
-1.034482758620689724e+00,2.663986453290839496e+00
-8.965517241379310498e-01,1.840870441651254685e+00
-7.586206896551723755e-01,3.266697974620447642e+00
-6.206896551724137012e-01,2.674513341670296640e+00
-4.827586206896552490e-01,3.085994384360777332e+00
-3.448275862068965747e-01,4.207479512945344169e+00
-2.068965517241379004e-01,2.466030100169788408e+00
-6.896551724137944817e-02,3.068185615762828444e+00
6.896551724137944817e-02,4.644609022483166427e+00
2.068965517241379004e-01,4.607858534837990128e+00
3.448275862068963526e-01,6.348730091215962545e+00
4.827586206896552490e-01,5.540251786547755408e+00
6.206896551724137012e-01,5.449765264181949398e+00
7.586206896551725976e-01,8.741510837887071617e+00
8.965517241379310498e-01,7.463878871927257741e+00
1.034482758620689502e+00,8.170976480549992260e+00
1.172413793103448398e+00,7.092493193096888859e+00
1.310344827586206851e+00,8.386651758233437448e+00
1.448275862068965303e+00,9.455750175916762146e+00
1.586206896551724199e+00,8.607627112232869138e+00
1.724137931034482651e+00,1.054811181144911991e+01
1.862068965517241104e+00,9.985568206632917665e+00
2.000000000000000000e+00,1.070830625020672322e+01
